taxon,we.ep,we.eBH,wi.ep,wi.eBH,rab.all,rab.win.NAT,rab.win.Tumor,diff.btw,diff.win,effect,overlap,p_min,significant,direction
Ochrobactrum,0.4972812155468662,1,0.29656055046019525,0.4991015926296946,0.11002724655208507,0.07195682755301291,0.14533011691530984,0.09912593267470982,1.62358508574916,0.03007762479262467,0.46600000011385945,0.4991015926296946,FALSE,ns
Unknown genus5,0.7989995469270967,1,0.33447671005036783,0.5124802968325424,-2.9271281467407846,-2.992283516283612,-2.8613104159277443,0.13778623801982537,1.9819429594737556,0.032868428352641074,0.4613077385820087,0.5124802968325424,FALSE,ns
Blastococcus,0.9601915742925454,1,0.3221263733255479,0.5200456697698119,-0.5217974593307249,-0.5683728000861707,-0.4732382419997121,0.09714239891370013,1.9987066692081772,0.022626937966395734,0.46940000010238375,0.5200456697698119,FALSE,ns
Unknown genus44,0.42490513629043586,1,0.34671874641030986,0.5256163630238517,-2.9047444405804974,-2.9606484822819743,-2.8543706647285214,0.09609466340373629,2.1156299661829374,0.02082089570841156,0.47230553898478367,0.5256163630238517,FALSE,ns
Brevibacterium,0.8508328814160567,1,0.35153223226821007,0.5333148372352301,-2.820459735596218,-2.860868656947563,-2.7766102594298463,0.075387627447137,2.4011364967274345,0.01369010622235718,0.4805038992852156,0.5333148372352301,FALSE,ns
Unknown genus116,0.7869679257682566,1,0.3476288093017749,0.5347446462497285,-1.9289681651459025,-1.976090111811338,-1.8772451077392214,0.09407561214008542,1.7006794672923364,0.028577557500752797,0.47220000009295426,0.5347446462497285,FALSE,ns
Diaphorobacter,0.4476722103470685,1,0.36955257777886036,0.536093924213817,-6.859319186476976,-6.948523435037149,-6.768869838035669,0.29014805016590905,5.689954048264405,0.03536241518516396,0.46970605888955347,0.536093924213817,FALSE,ns
Lautropia,0.8422799064515767,1,0.367065427772387,0.5424832453226188,-2.979355676966634,-3.0390274198113643,-2.91960944432396,0.10968019128832118,1.9272496203278164,0.026327827779598533,0.4717056589628055,0.5424832453226188,FALSE,ns
Halomonas,0.4585566172740084,1,0.3335944737027568,0.5430353563976741,0.9534000245448047,0.916955722451771,0.9899874309036161,0.04097584823405409,2.0472171719393675,0.011420750582117018,0.48790241955642977,0.5430353563976741,FALSE,ns
Marmoricola,0.16636659304892037,1,0.3415582754867958,0.5460323889226395,0.7881902006490229,0.7589236886179105,0.8147916165641664,0.05635275718599164,1.557984212627061,0.019025393306124648,0.47940000006878314,0.5460323889226395,FALSE,ns
Enterobacter,0.930030457575208,1,0.3842282766496108,0.5659356797999057,-2.7485759884122247,-2.7956868530170214,-2.698080384248102,0.06427449450138845,5.1036416398675915,0.008745725317661717,0.48580000004737156,0.5659356797999057,FALSE,ns
Jeotgalicoccus,0.546793774758141,1,0.4041634090540737,0.5823479281207304,-2.563134050581156,-2.6063969922344095,-2.512554605055932,0.08381635119873732,1.7886212941791833,0.024651221389166582,0.4756000000815277,0.5823479281207304,FALSE,ns
Devosia,0.011156819735639688,0.5920933946381852,0.3625020001690745,1,-0.03587147433267823,-0.0539726713041393,-0.01700654848636418,-0.0014615527390535732,2.994376175262145,-3.5891930685871245e-4,0.49960000000133353,0.5920933946381852,FALSE,ns
Xanthomonas,0.4334287896233826,1,0.416903526496154,0.5989312431862028,-3.066548448437766,-3.1234406995225914,-3.01317974179873,0.09552103384380572,1.9316907795655194,0.02457433778670779,0.4730000000902631,0.5989312431862028,FALSE,ns
Lysobacter,0.35061208203806693,1,0.43029202761088625,0.6079164324987634,-3.001820213875056,-3.0397029254386316,-2.958034225482802,0.0741558173885073,1.89318104409905,0.01973498573359953,0.4797040592559002,0.6079164324987634,FALSE,ns
Gemella,0.9288620297553459,1,0.4226489748905373,0.6183553369720003,-2.6943530104916675,-2.7561323742121324,-2.631077732692635,0.09359675203970497,2.868269616756179,0.01657821419624346,0.4742000000862291,0.6183553369720003,FALSE,ns
Porphyromonas,0.8299836777277683,1,0.43215094302132134,0.643305951981807,0.8252400120134746,0.7878619182740056,0.867137775287727,0.07137568800756888,1.9883089476237217,0.019026609320441853,0.47820000007280483,0.643305951981807,FALSE,ns
Campylobacter,0.8436162718517931,1,0.48276722638369446,0.6489403950152816,-2.7857740218346976,-2.8390354776153215,-2.7324439891261934,0.10018899928026581,2.0054522215507973,0.02258345412624858,0.47120000009631946,0.6489403950152816,FALSE,ns
